Network,RandFactor,G_Avg_Cost,RS_Avg_Cost,G_Best_Cost,RS_Best_Cost,G_Time,RS_Time
A,0.0,1220.08,1201.6039999999998,1220.08,1198.58,1.6989999999999998,1.527185
A,0.05,1217.924,1201.6039999999998,1213.7,1198.58,1.6473066666666665,1.51382
A,0.1,1217.924,1198.58,1213.7,1198.58,1.6182666666666667,1.77204
A,0.15,1215.474,1198.58,1213.7,1198.58,1.5728466666666667,1.75898
A,0.2,1680.8960000000002,1198.58,1601.91,1198.58,1.9547633333333334,1.86551
A,0.25,1789.6920000000002,1199.926,1724.56,1198.58,1.7131433333333332,1.7682799999999999
A,0.5,2322.1259999999997,1200.7259999999999,2177.73,1198.58,1.9893633333333334,2.042595
A,0.75,2727.0780000000004,1198.58,2478.72,1198.58,2.0459766666666668,2.028025
A,1.0,2807.588,1200.7259999999999,2568.94,1198.58,2.1123733333333328,2.0661500000000004
B,0.0,2210.1,2194.718,2210.1,2186.02,2.31108,2.0766400000000003
B,0.05,2217.556,2201.102,2210.1,2186.02,2.0849466666666667,2.103085
B,0.1,2212.664,2194.4839999999995,2209.69,2182.65,2.315046666666667,2.38379
B,0.15,2223.3959999999997,2202.308,2214.76,2182.1,2.1367433333333334,2.181855
B,0.2,2932.5520000000006,2188.206,2794.99,2179.15,3.0018133333333332,2.765535
B,0.25,2929.7380000000003,2186.0,2829.64,2182.62,2.68387,2.985195
B,0.5,4284.246000000001,2204.8239999999996,4194.39,2184.17,3.1969600000000002,3.18027
B,0.75,4910.07,2197.142,4667.21,2179.15,3.5034899999999998,3.560725
B,1.0,5063.548,2196.016,4801.82,2181.92,3.3746466666666666,3.27818
C,0.0,3036.6,3033.852,3036.6,3029.59,4.36836,4.22423
C,0.05,3036.6,3033.2760000000003,3036.6,3027.3,4.218493333333334,4.309795
C,0.1,3036.9480000000003,3032.246,3036.41,3027.44,4.119673333333334,4.143065
C,0.15,3935.4200000000005,3031.5200000000004,3847.43,3027.44,5.235896666666666,5.25537
C,0.2,4041.017999999999,3035.316,3987.84,3027.97,5.591173333333334,5.492565
C,0.25,4095.8059999999996,3034.7420000000006,4009.07,3027.3,5.334230000000001,5.48543
C,0.5,6085.498,3031.1540000000005,5862.11,3027.44,6.332766666666667,6.46036
C,0.75,7821.416,3039.058,7400.32,3028.29,7.204283333333333,7.22949
C,1.0,7907.303999999999,3035.45,7783.14,3034.47,7.160446666666666,7.556715
