Tabu_Size,Memories_Active,Network,Cost,Time,Feasible
5,False,A,1931.07,0.06469,False
5,False,B,3149.7,0.22348,False
5,False,C,3930.01,0.30661,False
5,True,A,1187.44,1.81211,True
5,True,B,2031.72,4.56755,False
5,True,C,3016.27,8.73058,True
7,False,A,1931.07,0.06626,False
7,False,B,2931.77,0.28426,False
7,False,C,3871.24,0.32161,False
7,True,A,1185.79,1.75953,True
7,True,B,2166.1,5.03048,False
7,True,C,3025.03,8.95602,True
9,False,A,1931.07,0.06478,False
9,False,B,2931.6,0.27888,False
9,False,C,3871.24,0.31951,False
9,True,A,1183.78,1.74953,True
9,True,B,2175.04,5.24195,True
9,True,C,3027.65,8.73268,True
11,False,A,1198.58,0.11116,True
11,False,B,2292.97,0.52165,False
11,False,C,3871.24,0.31842,False
11,True,A,1181.22,1.72928,True
11,True,B,2110.43,6.31922,False
11,True,C,3025.84,10.5026,True
13,False,A,1198.58,0.11096,True
13,False,B,2294.73,0.43845,False
13,False,C,3871.24,0.3208,False
13,True,A,1168.03,1.64117,True
13,True,B,2169.37,4.82276,True
13,True,C,3025.47,8.56337,True
15,False,A,1198.58,0.11044,True
15,False,B,2292.97,0.42577,False
15,False,C,3871.24,0.31723,False
15,True,A,1169.11,1.72625,True
15,True,B,2176.52,4.09859,True
15,True,C,3024.86,10.56384,True
